track_name,artist(s)_name,artist_count,released_year,released_month,released_day,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,popularity
Still With You,Jung Kook,1,2020,6,5,31,39,38411956.0,2,107,8,0,0,-1.227518873988119,C#,Minor,-0.9815739119900071,-0.7274676926722082,-1.0775978022011523,-0.6807532987179253,-0.19150181181757883,4.787326345086975,-0.6396989092517682,0
All My Life (feat. J. Cole),"J. Cole, Lil Durk",2,2023,5,12,2175,23,144565150.0,69,145,69,2,478,0.7248181826631953,D#,Major,1.062049949679952,0.75518964713499,-1.2638549101435672,-0.44510792608479727,-0.19150181181757883,-0.6033365105138819,2.1988225586900736,0
Say Yes To Heaven,Lana Del Rey,1,2023,3,17,2000,46,127567540.0,49,105,63,1,0,-0.801554425264196,F#,Minor,-1.2540570935460016,-1.4476155434357045,-1.8226262339708115,1.754248885157731,0.8350597254001576,-0.5294918138618154,-0.7375789598704523,0
Snooze,SZA,1,2022,12,9,2839,25,399686758.0,58,156,42,1,236,0.7248181826631953,F,Major,-0.7772115258230112,-0.51565950127118,-0.5809121810213796,-0.48438215485698527,-0.19150181181757883,-0.5294918138618154,0.24122154631638965,1
Summertime Sadness,Lana Del Rey,1,2011,1,1,20333,52,983637508.0,89,143,"1,632",3,200,-0.3755899765402728,C#,Minor,-0.7772115258230112,-1.1510840754742648,0.10203054810080794,-0.7593017562623013,-0.19150181181757883,-0.4556471172097489,-0.7375789598704523,2
Take Two,BTS,1,2023,6,9,674,47,118482347.0,20,106,25,4,78,-1.050033687019818,G,Major,-0.3684867534890194,0.246849987772522,-0.3325693704314932,-0.9163986713510532,-0.19150181181757883,1.464314995743981,-0.7375789598704523,0
Lover,Taylor Swift,1,2012,1,1,8448,23,882831184.0,160,110,163,0,5,2.9611315384637917,G,Major,-1.6627818658799933,-0.04968148018891764,-0.5809121810213796,0.9294900809417828,-0.19150181181757883,-0.23411302725354927,-0.05241860553966295,2
Too Many Nights (feat. Don Toliver & with Future),"Future, Metro Boomin, Don Toliver",3,2022,12,2,2110,58,286400165.0,17,119,19,2,266,-1.227518873988119,G,Minor,0.040238018844972426,-1.4476155434357045,0.4124590613381659,-0.44510792608479727,-0.19150181181757883,-0.5294918138618154,-0.541818858633084,1
Chemical,Post Malone,1,2023,4,14,2528,39,172825906.0,56,91,59,3,486,1.6832381922920223,D,Major,-1.185936298157003,-0.6003827778315913,1.5920874116401262,-1.0342213576676174,-0.19150181181757883,-0.4556471172097489,-0.541818858633084,1
Mockingbird,Eminem,1,2004,1,1,12985,61,1241559043.0,49,98,"2,394",5,204,-1.3695070235627602,E,Minor,-0.3684867534890194,-1.1510840754742648,0.16411625074827954,-0.20946255345166928,-0.19150181181757883,-0.3818024205576823,1.7094223055966526,2
New Jeans,NewJeans,1,2023,7,7,77,35,29562220.0,8,166,4,4,34,0.40534484612025296,E,Minor,0.9258083589019547,0.07740343465169935,0.4745447639856375,0.9687643097139708,-0.19150181181757883,-0.4556471172097489,-0.541818858633084,0
Primera Cita,Carin Leon,1,2022,4,20,266,27,77309611.0,6,40,6,6,202,1.2572737435680992,A#,Major,-0.9134531166010085,-0.04968148018891764,-1.5121977207334536,1.361506597435851,-0.19150181181757883,-0.6033365105138819,-0.4439388080143997,0
Cold Heart - PNAU Remix,"Dua Lipa, Elton John, Pnau",3,2017,11,10,21097,52,1605224506.0,384,135,"1,034",37,312,-0.23360182696563178,C#,Major,0.857687563512956,1.7295073275797204,0.9712303851654103,-0.8771244425788653,-0.19150181181757883,-0.6033365105138819,-0.7375789598704523,2
Dandelions,Ruth B.,1,2017,4,28,3423,21,1116995633.0,41,100,59,1,32,-0.19810478957197153,C#,Major,-0.436607548878018,-0.26148967158994596,0.2882876560432227,-0.9556729001232412,-0.19150181181757883,-0.6771812071659484,-0.7375789598704523,2
Bones,Imagine Dragons,1,2021,3,11,4198,44,838079900.0,98,108,327,17,153,-0.3045959017529523,F,Minor,0.6533251773459602,0.5857430940141674,0.4745447639856375,-0.9556729001232412,-0.19150181181757883,-0.8248706004700815,-0.541818858633084,2
Set Fire to the Rain,Adele,1,2011,1,1,14739,43,1163620694.0,88,112,"2,163",5,519,-0.5175781261149139,D,Minor,-0.436607548878018,-0.17676639502953465,0.22620195339575114,-1.0342213576676174,-0.19150181181757883,-0.3818024205576823,-0.7375789598704523,2
Money Trees,"Kendrick Lamar, Jay Rock",2,2012,1,1,26792,32,1093605526.0,69,113,695,0,458,0.7603152200568556,E,Minor,0.4489627911789642,-0.6003827778315913,-0.7050835863163228,-0.7593017562623013,-0.19150181181757883,0.20895515265884992,-0.05241860553966295,2
Tak Segampang Itu,Anggi Marito,1,2022,12,2,213,6,179659294.0,7,6,0,0,48,0.2633566965456119,F,Major,-1.1178155027680043,-1.4052539051554989,-1.2638549101435672,1.9506200290186708,-0.19150181181757883,-0.5294918138618154,-0.7375789598704523,1
LAGUNAS,"Jasiel Nuï¿½ï¿½ez, Peso P",2,2023,6,22,58,18,39058561.0,2,106,4,2,184,-0.23360182696563178,B,Major,0.6533251773459602,1.1788060299370466,-0.14631226248907844,0.2618281918145867,-0.0774394187933859,-0.23411302725354927,-0.7375789598704523,0
Mine (Taylor's Version),Taylor Swift,1,2023,7,7,99,15,36912123.0,21,52,6,1,0,-0.05611663999733047,G,Major,-0.16412436732202348,-0.0920431184691233,0.8470589798704671,-1.0342213576676174,-0.19150181181757883,-0.0864236339494162,-0.6396989092517682,0
Everybody Wants To Rule The World,Tears For Fears,1,1985,2,17,41751,25,1205951614.0,101,32,"2,655",0,666,-0.3755899765402728,G,Major,-0.2322451627110221,0.11976507293190503,1.0333160878128818,0.3796508781311507,-0.19150181181757883,-0.5294918138618154,-0.4439388080143997,2
No Role Modelz,J. Cole,1,2014,12,9,21164,36,1791000570.0,80,65,476,0,14,-0.801554425264196,A#,Minor,0.17647960962296969,-0.17676639502953465,-0.7671692889637944,0.1440055054980227,-0.19150181181757883,-0.898715297122148,2.1988225586900736,2
Tattoo,Loreen,1,2023,2,25,2988,59,201660859.0,74,102,145,18,925,0.9732974444188172,D#,Minor,-0.8453323212120099,-0.8969142457930309,0.8470589798704671,-0.09163986713510529,-0.19150181181757883,-0.4556471172097489,-0.24817870677703135,1
Rara Vez,"Taiu, Milo j",2,2023,2,8,893,38,248088961.0,19,23,24,3,88,-0.09161367739099073,F,Minor,1.1301707450689507,1.898953880700543,0.4124590613381659,-0.3272852397682333,-0.19150181181757883,1.168936209135715,0.6327417487911264,1
VAGABUNDO,"Sebastian Yatra, Manuel Turizo, Beï¿½ï",3,2023,5,12,1094,34,90839753.0,40,58,47,8,203,0.1568655843646311,B,Minor,0.9939291542909533,1.6024224127391034,1.2816588984027681,-0.8771244425788653,-0.19150181181757883,0.356644545962983,-0.4439388080143997,0
august,Taylor Swift,1,2020,7,24,7324,22,607123776.0,25,81,61,1,44,-1.1565247992007985,F,Major,-1.1178155027680043,-0.388574586430563,-0.20839796513655004,1.0473127672583467,-0.19150181181757883,-0.6771812071659484,-0.7375789598704523,1
LUNA,"Junior H, Peso Pluma",2,2023,6,22,201,11,55842345.0,19,117,8,1,74,0.19236262175829136,A,Minor,0.5170835865679628,1.1788060299370466,-0.08422655984160685,0.2618281918145867,-0.19150181181757883,-0.23411302725354927,-0.6396989092517682,0
Miracle (with Ellie Goulding),"Calvin Harris, Ellie Goulding",2,2023,3,10,5120,48,211050784.0,161,115,246,9,638,0.7248181826631953,A,Major,-0.2322451627110221,-0.8545526075128252,1.4058303036977113,-0.8771244425788653,0.26474776027919295,-0.751025903818015,-0.6396989092517682,1
Nonsense,Sabrina Carpenter,1,2022,7,15,2346,27,342897938.0,69,12,38,8,64,0.5828300330885543,G#,Major,0.4489627911789642,0.7128280088547844,0.22620195339575114,-0.9163986713510532,-0.19150181181757883,0.5781786359191826,-0.6396989092517682,1
Que Vuelvas,"Carin Leon, Grupo Frontera",2,2022,12,9,763,26,2762.0,21,110,21,9,71,1.3992618931427403,A#,Major,-1.2540570935460016,1.136444391656841,-0.022140857194135246,-0.2880110109960453,-0.19150181181757883,-0.5294918138618154,-0.6396989092517682,0
Feliz Cumpleaï¿½ï¿½os Fe,Feid,1,2022,8,19,3430,38,601863821.0,45,69,52,4,3,-0.9790396122324974,F,Major,1.3345331312359465,0.246849987772522,-0.5809121810213796,-0.6414790699457373,-0.19150181181757883,0.7997127258753822,-0.34605875739571557,1
